synapse_id,bucket,areal_dir,pathway_slug,contract_path
ai-agent-response-generate-negotiation-reminder-send,pathway,ai-agent,ai-agent-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-response-generate/ai-agent-response-generate-negotiation-reminder-send.md
ai-agent-response-generate-negotiation-state-transition,pathway,ai-agent,ai-agent-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-response-generate/ai-agent-response-generate-negotiation-state-transition.md
ai-agent-response-generate-negotiation-summary-generate,pathway,ai-agent,ai-agent-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-response-generate/ai-agent-response-generate-negotiation-summary-generate.md
ai-context-build-family,pathway,ai-agent,ai-context-build,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-context-build/ai-context-build-family.md
ai-context-build-negotiation-expire-check,pathway,ai-agent,ai-context-build,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-context-build/ai-context-build-negotiation-expire-check.md
ai-context-build-negotiation-reminder-send,pathway,ai-agent,ai-context-build,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-context-build/ai-context-build-negotiation-reminder-send.md
ai-context-build-negotiation-state-transition,pathway,ai-agent,ai-context-build,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-context-build/ai-context-build-negotiation-state-transition.md
ai-context-build-negotiation-summary-generate,pathway,ai-agent,ai-context-build,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-context-build/ai-context-build-negotiation-summary-generate.md
ai-feedback-collect-family,pathway,ai-agent,ai-feedback-collect,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-feedback-collect/ai-feedback-collect-family.md
ai-feedback-collect-negotiation-expire-check,pathway,ai-agent,ai-feedback-collect,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-feedback-collect/ai-feedback-collect-negotiation-expire-check.md
ai-feedback-collect-negotiation-reminder-send,pathway,ai-agent,ai-feedback-collect,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-feedback-collect/ai-feedback-collect-negotiation-reminder-send.md
ai-feedback-collect-negotiation-state-transition,pathway,ai-agent,ai-feedback-collect,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-feedback-collect/ai-feedback-collect-negotiation-state-transition.md
ai-feedback-collect-negotiation-summary-generate,pathway,ai-agent,ai-feedback-collect,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-feedback-collect/ai-feedback-collect-negotiation-summary-generate.md
ai-intent-classify-alert-bounce-high,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-alert-bounce-high.md
ai-intent-classify-alert-phone-banned,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-alert-phone-banned.md
ai-intent-classify-alert-phone-offline,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-alert-phone-offline.md
ai-intent-classify-family,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-family.md
ai-intent-classify-monitor-email-deliverability,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-monitor-email-deliverability.md
ai-intent-classify-monitor-phone-health,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-monitor-phone-health.md
ai-intent-classify-monitor-quota-usage,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-monitor-quota-usage.md
ai-intent-classify-negotiation-expire-check,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-negotiation-expire-check.md
ai-intent-classify-negotiation-reminder-send,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-negotiation-reminder-send.md
ai-intent-classify-negotiation-state-transition,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-negotiation-state-transition.md
ai-intent-classify-negotiation-summary-generate,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-negotiation-summary-generate.md
ai-intent-classify-pipeline-outreach-health,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-pipeline-outreach-health.md
ai-intent-classify-pipeline-outreach-metrics,pathway,ai-agent,ai-intent-classify,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-intent-classify/ai-intent-classify-pipeline-outreach-metrics.md
ai-prompt-optimize-family,pathway,ai-agent,ai-prompt-optimize,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-prompt-optimize/ai-prompt-optimize-family.md
ai-prompt-optimize-negotiation-expire-check,pathway,ai-agent,ai-prompt-optimize,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-prompt-optimize/ai-prompt-optimize-negotiation-expire-check.md
ai-prompt-optimize-negotiation-reminder-send,pathway,ai-agent,ai-prompt-optimize,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-prompt-optimize/ai-prompt-optimize-negotiation-reminder-send.md
ai-prompt-optimize-negotiation-state-transition,pathway,ai-agent,ai-prompt-optimize,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-prompt-optimize/ai-prompt-optimize-negotiation-state-transition.md
ai-prompt-optimize-negotiation-summary-generate,pathway,ai-agent,ai-prompt-optimize,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-prompt-optimize/ai-prompt-optimize-negotiation-summary-generate.md
ai-response-generate-alert-bounce-high,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-alert-bounce-high.md
ai-response-generate-alert-phone-banned,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-alert-phone-banned.md
ai-response-generate-alert-phone-offline,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-alert-phone-offline.md
ai-response-generate-family,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-family.md
ai-response-generate-monitor-email-deliverability,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-monitor-email-deliverability.md
ai-response-generate-monitor-phone-health,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-monitor-phone-health.md
ai-response-generate-monitor-quota-usage,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-monitor-quota-usage.md
ai-response-generate-pipeline-outreach-health,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-pipeline-outreach-health.md
ai-response-generate-pipeline-outreach-metrics,pathway,ai-agent,ai-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-response-generate/ai-response-generate-pipeline-outreach-metrics.md
ai-sentiment-analyze-alert-bounce-high,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-alert-bounce-high.md
ai-sentiment-analyze-alert-phone-banned,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-alert-phone-banned.md
ai-sentiment-analyze-alert-phone-offline,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-alert-phone-offline.md
ai-sentiment-analyze-family,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-family.md
ai-sentiment-analyze-monitor-email-deliverability,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-monitor-email-deliverability.md
ai-sentiment-analyze-monitor-phone-health,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-monitor-phone-health.md
ai-sentiment-analyze-monitor-quota-usage,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-monitor-quota-usage.md
ai-sentiment-analyze-pipeline-outreach-health,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-pipeline-outreach-health.md
ai-sentiment-analyze-pipeline-outreach-metrics,pathway,ai-agent,ai-sentiment-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-sentiment-analyze/ai-sentiment-analyze-pipeline-outreach-metrics.md
ai-tool-execute-family,pathway,ai-agent,ai-tool-execute,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-tool-execute/ai-tool-execute-family.md
ai-tool-execute-negotiation-expire-check,pathway,ai-agent,ai-tool-execute,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-tool-execute/ai-tool-execute-negotiation-expire-check.md
ai-tool-execute-negotiation-reminder-send,pathway,ai-agent,ai-tool-execute,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-tool-execute/ai-tool-execute-negotiation-reminder-send.md
ai-tool-execute-negotiation-state-transition,pathway,ai-agent,ai-tool-execute,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-tool-execute/ai-tool-execute-negotiation-state-transition.md
ai-tool-execute-negotiation-summary-generate,pathway,ai-agent,ai-tool-execute,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-tool-execute/ai-tool-execute-negotiation-summary-generate.md
channel-email-send-family,pathway,ai-agent,channel-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-email-send/channel-email-send-family.md
channel-email-send-human-notification-send,pathway,ai-agent,channel-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-email-send/channel-email-send-human-notification-send.md
channel-email-send-human-queue-prioritize,pathway,ai-agent,channel-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-email-send/channel-email-send-human-queue-prioritize.md
channel-routing-decide-family,pathway,ai-agent,channel-routing-decide,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-routing-decide/channel-routing-decide-family.md
channel-routing-decide-human-notification-send,pathway,ai-agent,channel-routing-decide,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-routing-decide/channel-routing-decide-human-notification-send.md
channel-routing-decide-human-queue-prioritize,pathway,ai-agent,channel-routing-decide,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-routing-decide/channel-routing-decide-human-queue-prioritize.md
channel-whatsapp-send-family,pathway,ai-agent,channel-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-whatsapp-send/channel-whatsapp-send-family.md
channel-whatsapp-send-human-notification-send,pathway,ai-agent,channel-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-whatsapp-send/channel-whatsapp-send-human-notification-send.md
channel-whatsapp-send-human-queue-prioritize,pathway,ai-agent,channel-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/channel-whatsapp-send/channel-whatsapp-send-human-queue-prioritize.md
document-email-send-channel-email-send,pathway,ai-agent,document-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-email-send/document-email-send-channel-email-send.md
document-email-send-channel-routing-decide,pathway,ai-agent,document-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-email-send/document-email-send-channel-routing-decide.md
document-email-send-channel-whatsapp-send,pathway,ai-agent,document-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-email-send/document-email-send-channel-whatsapp-send.md
document-email-send-family,pathway,ai-agent,document-email-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-email-send/document-email-send-family.md
document-pdf-generate-channel-email-send,pathway,ai-agent,document-pdf-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/document-pdf-generate/document-pdf-generate-channel-email-send.md
document-pdf-generate-channel-routing-decide,pathway,ai-agent,document-pdf-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/document-pdf-generate/document-pdf-generate-channel-routing-decide.md
document-pdf-generate-channel-whatsapp-send,pathway,ai-agent,document-pdf-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/document-pdf-generate/document-pdf-generate-channel-whatsapp-send.md
document-pdf-generate-family,pathway,ai-agent,document-pdf-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/document-pdf-generate/document-pdf-generate-family.md
document-template-compile-channel-email-send,pathway,ai-agent,document-template-compile,docs/CognitiveBrain/contracts/synapses/ai-agent/document-template-compile/document-template-compile-channel-email-send.md
document-template-compile-channel-routing-decide,pathway,ai-agent,document-template-compile,docs/CognitiveBrain/contracts/synapses/ai-agent/document-template-compile/document-template-compile-channel-routing-decide.md
document-template-compile-channel-whatsapp-send,pathway,ai-agent,document-template-compile,docs/CognitiveBrain/contracts/synapses/ai-agent/document-template-compile/document-template-compile-channel-whatsapp-send.md
document-template-compile-family,pathway,ai-agent,document-template-compile,docs/CognitiveBrain/contracts/synapses/ai-agent/document-template-compile/document-template-compile-family.md
document-whatsapp-send-channel-email-send,pathway,ai-agent,document-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-whatsapp-send/document-whatsapp-send-channel-email-send.md
document-whatsapp-send-channel-routing-decide,pathway,ai-agent,document-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-whatsapp-send/document-whatsapp-send-channel-routing-decide.md
document-whatsapp-send-channel-whatsapp-send,pathway,ai-agent,document-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-whatsapp-send/document-whatsapp-send-channel-whatsapp-send.md
document-whatsapp-send-family,pathway,ai-agent,document-whatsapp-send,docs/CognitiveBrain/contracts/synapses/ai-agent/document-whatsapp-send/document-whatsapp-send-family.md
guardrail-discount-check-document-email-send,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-document-email-send.md
guardrail-discount-check-document-pdf-generate,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-document-pdf-generate.md
guardrail-discount-check-document-template-compile,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-document-template-compile.md
guardrail-discount-check-document-whatsapp-send,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-document-whatsapp-send.md
guardrail-discount-check-einvoice-archive-download,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-einvoice-archive-download.md
guardrail-discount-check-family,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-family.md
guardrail-discount-check-oblio-invoice-cancel,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-oblio-invoice-cancel.md
guardrail-discount-check-oblio-invoice-create,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-oblio-invoice-create.md
guardrail-discount-check-oblio-proforma-create,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-oblio-proforma-create.md
guardrail-discount-check-oblio-stock-sync,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-oblio-stock-sync.md
guardrail-discount-check-oblio-webhook-process,pathway,ai-agent,guardrail-discount-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-discount-check/guardrail-discount-check-oblio-webhook-process.md
guardrail-log-analyze-document-email-send,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-document-email-send.md
guardrail-log-analyze-document-pdf-generate,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-document-pdf-generate.md
guardrail-log-analyze-document-template-compile,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-document-template-compile.md
guardrail-log-analyze-document-whatsapp-send,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-document-whatsapp-send.md
guardrail-log-analyze-einvoice-archive-download,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-einvoice-archive-download.md
guardrail-log-analyze-family,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-family.md
guardrail-log-analyze-oblio-invoice-cancel,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-oblio-invoice-cancel.md
guardrail-log-analyze-oblio-invoice-create,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-oblio-invoice-create.md
guardrail-log-analyze-oblio-proforma-create,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-oblio-proforma-create.md
guardrail-log-analyze-oblio-stock-sync,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-oblio-stock-sync.md
guardrail-log-analyze-oblio-webhook-process,pathway,ai-agent,guardrail-log-analyze,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-log-analyze/guardrail-log-analyze-oblio-webhook-process.md
guardrail-price-check-document-email-send,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-document-email-send.md
guardrail-price-check-document-pdf-generate,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-document-pdf-generate.md
guardrail-price-check-document-template-compile,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-document-template-compile.md
guardrail-price-check-document-whatsapp-send,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-document-whatsapp-send.md
guardrail-price-check-einvoice-archive-download,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-einvoice-archive-download.md
guardrail-price-check-family,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-family.md
guardrail-price-check-oblio-invoice-cancel,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-oblio-invoice-cancel.md
guardrail-price-check-oblio-invoice-create,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-oblio-invoice-create.md
guardrail-price-check-oblio-proforma-create,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-oblio-proforma-create.md
guardrail-price-check-oblio-stock-sync,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-oblio-stock-sync.md
guardrail-price-check-oblio-webhook-process,pathway,ai-agent,guardrail-price-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-price-check/guardrail-price-check-oblio-webhook-process.md
guardrail-stock-check-document-email-send,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-document-email-send.md
guardrail-stock-check-document-pdf-generate,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-document-pdf-generate.md
guardrail-stock-check-document-template-compile,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-document-template-compile.md
guardrail-stock-check-document-whatsapp-send,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-document-whatsapp-send.md
guardrail-stock-check-einvoice-archive-download,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-einvoice-archive-download.md
guardrail-stock-check-family,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-family.md
guardrail-stock-check-oblio-invoice-cancel,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-oblio-invoice-cancel.md
guardrail-stock-check-oblio-invoice-create,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-oblio-invoice-create.md
guardrail-stock-check-oblio-proforma-create,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-oblio-proforma-create.md
guardrail-stock-check-oblio-stock-sync,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-oblio-stock-sync.md
guardrail-stock-check-oblio-webhook-process,pathway,ai-agent,guardrail-stock-check,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-check/guardrail-stock-check-oblio-webhook-process.md
guardrail-stock-verify-document-email-send,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-document-email-send.md
guardrail-stock-verify-document-pdf-generate,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-document-pdf-generate.md
guardrail-stock-verify-document-template-compile,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-document-template-compile.md
guardrail-stock-verify-document-whatsapp-send,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-document-whatsapp-send.md
guardrail-stock-verify-einvoice-archive-download,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-einvoice-archive-download.md
guardrail-stock-verify-family,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-family.md
guardrail-stock-verify-oblio-invoice-cancel,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-oblio-invoice-cancel.md
guardrail-stock-verify-oblio-invoice-create,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-oblio-invoice-create.md
guardrail-stock-verify-oblio-proforma-create,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-oblio-proforma-create.md
guardrail-stock-verify-oblio-stock-sync,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-oblio-stock-sync.md
guardrail-stock-verify-oblio-webhook-process,pathway,ai-agent,guardrail-stock-verify,docs/CognitiveBrain/contracts/synapses/ai-agent/guardrail-stock-verify/guardrail-stock-verify-oblio-webhook-process.md
mcp-resource-load-family,pathway,ai-agent,mcp-resource-load,docs/CognitiveBrain/contracts/synapses/ai-agent/mcp-resource-load/mcp-resource-load-family.md
mcp-resource-load-negotiation-expire-check,pathway,ai-agent,mcp-resource-load,docs/CognitiveBrain/contracts/synapses/ai-agent/mcp-resource-load/mcp-resource-load-negotiation-expire-check.md
